"","idade","sexo","escolaridade","estadocivil","ocupacao","religiao","contatoanterior","lidadiretamente","motivocurso","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","part.outrocurso","sumTime","nsessions","aprovado","meanTime"
"7336","48 anos","Masculino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Sim",46140,5,"Não",153.8
"7338","54","Feminino","Ensino Superior Incompleto","Casado (a)","Outros","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",47100,4,"Sim",196.25
"7339","54","Feminino","Ensino Superior Incompleto","Casado (a)","Outros","Católica","Sim","Sim","Outros","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",47100,4,"Sim",196.25
"7340","50","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",59160,3,"Sim",328.666666666667
"7353","50","Feminino","Pós-graduação","Viúvo (a)","Professor (a)","Católica","Não","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",17340,6,"Não",48.1666666666667
"7354","54","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Não",36660,3,"Sim",203.666666666667
"7358","49","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Sim",38400,4,"Sim",160
"7372","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9060,4,"Não",37.75
"7376","54","Masculino","Pós-graduação","Divorciado (a)","Diretor (a)","Espírita","Não","Não","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Sim",44820,6,"Não",124.5
"7390","48","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Às vezes","Não",30840,4,"Sim",128.5
"7392","39","Feminino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",38640,3,"Sim",214.666666666667
"7401","Cinquenta anos","Feminino","Ensino Superior Completo","União Estável","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Pouco importante","Organizado","Às vezes","Não",84240,2,"Sim",702
"7414","44","Feminino","Pós-graduação","União Estável","Professor (a)","Espírita","Sim","Sim","Outros","Adequado","Flexível","Importante","Organizado","Sempre","Não",64140,3,"Sim",356.333333333333
"7415","44","Feminino","Pós-graduação","União Estável","Professor (a)","Espírita","Sim","Sim","Outros","Adequado","Flexível","Importante","Organizado","Sempre","Não",64140,3,"Sim",356.333333333333
"7492","47","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",50760,5,"Não",169.2
"7497","44","Feminino","Ensino Superior Completo","União Estável","Professor (a)","Sem religião","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Às vezes","Sim",36180,8,"Não",75.375
"7512","51","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",29400,5,"Não",98
"7515","45","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Desorganizado","Raramente","Sim",14820,3,"Não",82.3333333333333
"7516","45","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",14820,3,"Não",82.3333333333333
"7517","45","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Desorganizado","Raramente","Sim",14820,3,"Não",82.3333333333333
"7518","45","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",14820,3,"Não",82.3333333333333
"7519","41","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",26940,6,"Não",74.8333333333333
"7525","23","Feminino","Ensino Superior Completo","União Estável","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",16200,6,"Não",45
"7529","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Sim","Identificação pessoal com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",37500,8,"Sim",78.125
"7531","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",47160,4,"Sim",196.5
"7546","44","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",15240,5,"Não",50.8
"7547","41","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Pouquíssimo importante","Desorganizado","Nunca","Não",21180,5,"Não",70.6
"7548","41","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Pouco importante","Desorganizado","Nunca","Não",21180,5,"Não",70.6
"7567","42","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Espírita","Não","Não","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Não",47640,2,"Não",397
"7574","51","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",47580,3,"Sim",264.333333333333
"7575","53","Feminino","Pós-graduação","Solteiro (a)","Diretor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",34320,8,"Sim",71.5
"7589","55","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",47820,3,"Não",265.666666666667
"7606","39","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Sim",21540,7,"Não",51.2857142857143
"7617","52","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Não","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",57420,3,"Não",319
"7619","54","Feminino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Não",74760,5,"Sim",249.2
"7620","45","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",35160,5,"Não",117.2
"7621","48","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",23520,4,"Não",98
"7624","40","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Não",40860,5,"Não",136.2
"7626","58 anos","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Sem religião","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",53400,3,"Não",296.666666666667
"7630","51","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Não",47940,3,"Sim",266.333333333333
"7633","50","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Às vezes","Não",35880,7,"Sim",85.4285714285714
"7636","59","Feminino","Pós-graduação","Divorciado (a)","Coordenador (a) Pedagógico","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Pouco flexível","Importante","Muito organizado","-","Sim",52140,3,"Sim",289.666666666667
"7637","59","Feminino","Pós-graduação","Divorciado (a)","Coordenador (a) Pedagógico","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",52140,3,"Sim",289.666666666667
"7640","quarenta e quatro anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Importante","Organizado","Às vezes","Não",45240,4,"Não",188.5
"7647","39","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",46620,5,"Sim",155.4
"7652","46","Feminino","Ensino Superior Completo","Casado (a)","Coordenador (a) Pedagógico","Evangélica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",40440,5,"Sim",134.8
"7654","54","Feminino","Ensino Superior Completo","Divorciado (a)","Orientador (a)","Católica","Sim","Não","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Sim",49740,7,"Sim",118.428571428571
"7658","54","Feminino","Ensino Superior Completo","Casado (a)","Outros","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",12480,5,"Não",41.6
"7660","40","Feminino","-","-","Outros","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",60300,5,"Não",201
"7661","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",60300,5,"Não",201
"7689","30","Feminino","Pós-graduação","Solteiro (a)","Outros","Outras","Não","Sim","Identificação pessoal com o tema","Muito adequado","Pouquíssimo flexível","Muito importante","Organizado","Sempre","Sim",35040,9,"Não",64.8888888888889
"7694","28","Masculino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Pouco importante","Organizado","Sempre","Não",51840,7,"Sim",123.428571428571
"7695","53","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",45540,5,"Sim",151.8
"7698","25 anos","Feminino","Pós-graduação","Solteiro (a)","Outros","Sem religião","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Sim",43740,6,"Não",121.5
"7707","26","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",52320,7,"Não",124.571428571429
"7708","50","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Espírita","Não","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Pouco importante","Muito organizado","Sempre","Não",58620,3,"Sim",325.666666666667
"7710","52","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Sim",52320,7,"Sim",124.571428571429
"7719","50","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Católica","Sim","Sim","Identificação pessoal com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",3960,3,"Não",22
"7728","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","-","Sim",29040,3,"Sim",161.333333333333
"7731","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",43680,8,"Sim",91
"7733","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Às vezes","Sim",38700,8,"Não",80.625
"7735","35","Masculino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Sem religião","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",63240,6,"Sim",175.666666666667
"7741","49","Feminino","Pós-graduação","Casado (a)","Outros","Outras","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",5640,1,"Não",94
"7744","42","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",3180,4,"Não",13.25
"7753","57 anos","Feminino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",52920,3,"Não",294
"7757","53","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",56280,5,"Não",187.6
"7758","52","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Outras","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",53580,5,"Sim",178.6
"7759","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",36600,4,"Não",152.5
"7760","47","Feminino","Pós-graduação","Viúvo (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Pouco adequado","Flexível","Importante","Desorganizado","Sempre","Não",39420,3,"Não",219
"7765","52","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Outros","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",8820,2,"Não",73.5
"7767","46","Feminino","Pós-graduação","União Estável","Diretor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Pouco importante","Muito organizado","Às vezes","Sim",36480,6,"Sim",101.333333333333
"7769","49","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",4560,3,"Não",25.3333333333333
"7770","50","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Organizado","Sempre","Sim",17400,5,"Não",58
"7783","52","Feminino","Ensino Superior Completo","Viúvo (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",14220,4,"Não",59.25
"7784","49","Feminino","Pós-graduação","Divorciado (a)","Diretor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Sim",35580,6,"Não",98.8333333333333
"7785","49","Feminino","Pós-graduação","Divorciado (a)","Diretor (a)","Católica","Sim","Sim","Outros","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",35580,6,"Não",98.8333333333333
"7790","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",38400,7,"Sim",91.4285714285714
"7791","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",38400,7,"Sim",91.4285714285714
"7796","48","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Às vezes","Não",48780,3,"Sim",271
"7813","53","Feminino","Pós-graduação","União Estável","Supervisor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",58500,5,"Sim",195
"7814","41","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Outras","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",51420,4,"Sim",214.25
"7815","41","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Outras","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",51420,4,"Sim",214.25
"7817","59","Feminino","Ensino Superior Completo","Viúvo (a)","Professor (a)","Umbanda","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Às vezes","Sim",49860,3,"Sim",277
"7820","65 anos","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Sim",46620,2,"Sim",388.5
"7821","65","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Sim",46620,2,"Sim",388.5
"7822","54","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Organizado","Às vezes","Sim",62760,2,"Não",523
"7828","47","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Sim",23340,5,"Não",77.8
"7832","43","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Espírita","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Sim",35160,3,"Sim",195.333333333333
"7845","49","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Sem religião","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",48300,3,"Não",268.333333333333
"7847","47","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",2820,2,"Não",23.5
"7864","54","Feminino","Pós-graduação","Divorciado (a)","Outros","Evangélica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",44880,1,"Sim",748
"7879","42","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",14340,5,"Não",47.8
"7880","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",18300,4,"Sim",76.25
"7889","45","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",24840,6,"Sim",69
"7893","49","Feminino","Pós-graduação","Solteiro (a)","Coordenador (a) Pedagógico","Evangélica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Sim",42240,5,"Não",140.8
"7895","49","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Sim",47520,6,"Não",132
"7910","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",38940,4,"Sim",162.25
"7911","47","Masculino","Ensino Superior Completo","Outros","Professor (a)","Outras","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",57900,3,"Sim",321.666666666667
"7912","44 anos","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",37560,7,"Não",89.4285714285714
"7916","50","Feminino","Pós-graduação","Outros","Supervisor (a)","Evangélica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",19800,7,"Não",47.1428571428571
"7917","51","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Sim",25320,4,"Não",105.5
"7924","42 anos","Feminino","Pós-graduação","Solteiro (a)","Diretor (a)","Católica","Sim","Não","Outros","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Não",2520,3,"Não",14
"7940","44","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação pessoal com o tema","Adequado","Pouquíssimo flexível","Muito importante","Organizado","Sempre","Não",3540,4,"Não",14.75
"7945","36","Feminino","Pós-graduação","Casado (a)","Outros","Católica","Sim","Sim","Outros","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",44820,4,"Sim",186.75
"7954","41","Feminino","Pós-graduação","Outros","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Pouco importante","Organizado","Sempre","Não",42000,9,"Sim",77.7777777777778
"7961","52","Feminino","Pós-graduação","Outros","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Muito flexível","Importante","Muito organizado","Sempre","Não",26940,6,"Não",74.8333333333333
"7973","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Às vezes","Sim",54960,2,"Sim",458
"8013","40","Feminino","Ensino Superior Completo","Solteiro (a)","Supervisor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Não",46620,4,"Não",194.25
"8024","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Não",30420,2,"Não",253.5
"8026","42","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",10020,3,"Não",55.6666666666667
"8028","51","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Espírita","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Pouco importante","Organizado","Sempre","Não",33420,10,"Sim",55.7
"8029","51","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Espírita","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Pouco importante","Desorganizado","Sempre","Não",33420,10,"Sim",55.7
"8039","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",29340,8,"Sim",61.125
"8040","37","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Não","Identificação profissional com o tema","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Não",29340,8,"Sim",61.125
"8047","31","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Espírita","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Pouco importante","Muito organizado","Raramente","Sim",5220,2,"Não",43.5
"8051","45","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Espírita","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",38640,6,"Não",107.333333333333
"8065","45","Masculino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",15900,7,"Não",37.8571428571429
"8066","45","Masculino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Pouco adequado","Flexível","Importante","Organizado","Sempre","Sim",15900,7,"Não",37.8571428571429
"8068","53","Masculino","Ensino Superior Completo","Solteiro (a)","Outros","Católica","Sim","Sim","Outros","Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Não",38100,7,"Sim",90.7142857142857
"8074","55","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Identificação pessoal com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Às vezes","Não",28020,3,"Não",155.666666666667
"8075","55","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação pessoal com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Às vezes","Não",28020,3,"Não",155.666666666667
"8081","52","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",18540,8,"Não",38.625
"8084","44","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",44820,7,"Sim",106.714285714286
"8085","29","Masculino","Ensino Médio Completo","Casado (a)","Professor (a)","Evangélica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",22140,5,"Não",73.8
"8108","38","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",12180,6,"Não",33.8333333333333
"8114","41","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",39600,4,"Sim",165
"8149","30","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",20040,10,"Não",33.4
"8150","30","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",20040,10,"Não",33.4
"8157","58","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Não",60660,1,"Sim",1011
"8167","48","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",52260,3,"Sim",290.333333333333
"8180","23","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",32940,6,"Não",91.5
